DATE,NCBEILQ027S,FBCELLQ027S,TCMILBSNNCB,WCMITCMFODNS,SLGTCMDODNS,TCMILBSHNO,FGTCMDODNS
1952-01-01,151463.0,50222.0,79.768,14.445,25.787,84.061,222.201
1952-04-01,157607.0,50363.0,80.77,14.656,28.324,88.204,222.032
1952-07-01,156907.0,50476.0,82.528,14.722,29.675,91.189,225.653
1952-10-01,146628.0,50591.0,85.098,14.765,30.795,95.595,229.829
1953-01-01,143052.0,50705.0,86.504,14.93,32.134,97.869,226.911
1953-04-01,133816.0,50807.0,87.354,15.156,33.218,102.319,226.926
1953-07-01,129274.0,50921.0,88.338,15.597,34.637,104.806,233.608
1953-10-01,144082.0,50992.0,89.252,15.887,35.786,108.158,237.379
1954-01-01,156255.0,51146.0,90.165,16.028,37.186,107.988,233.493
1954-04-01,172550.0,51314.0,90.151,15.881,38.343,111.763,232.735
1954-07-01,191985.0,51552.0,91.166,15.788,39.829,115.171,234.566
1954-10-01,194840.0,51649.0,92.843,15.986,41.102,120.453,240.195
1955-01-01,202122.0,51628.0,93.72,15.876,42.602,123.626,236.08
1955-04-01,225533.0,51869.0,95.386,15.93,43.705,130.685,234.433
1955-07-01,240995.0,52052.0,96.873,15.935,45.109,135.989,236.252
1955-10-01,244222.0,52012.0,101.216,15.97,46.148,141.563,240.077
1956-01-01,262345.0,52241.0,103.603,16.134,47.39,143.247,235.799
1956-04-01,252704.0,52394.0,105.982,16.376,48.313,148.421,230.35
1956-07-01,246833.0,52524.0,107.756,16.462,49.533,151.718,231.549
1956-10-01,268373.0,52620.0,110.961,16.696,50.381,156.401,235.039
1957-01-01,254023.0,52767.0,113.545,17.019,51.501,157.484,233.391
1957-04-01,273076.0,52954.0,116.337,17.184,52.414,162.474,227.347
1957-07-01,245392.0,53190.0,117.824,17.32,53.836,165.542,231.343
1957-10-01,245747.0,53395.0,120.632,17.978,55.039,168.575,233.24
1958-01-01,261319.0,53612.0,122.358,18.416,56.55,167.641,232.414
1958-04-01,278565.0,53829.0,123.271,18.863,57.73,171.149,234.972
1958-07-01,310541.0,54089.0,124.277,19.291,59.33,174.659,235.84
1958-10-01,324670.0,54286.0,127.965,19.848,60.669,180.371,243.374
1959-01-01,332012.0,54528.0,128.85,19.962,62.272,182.567,243.058
1959-04-01,346451.0,54738.0,131.925,20.314,63.593,189.505,243.702
1959-07-01,339875.0,54920.0,132.897,20.625,65.575,195.611,247.998
1959-10-01,362157.0,54974.0,136.645,20.684,66.696,202.315,251.18
1960-01-01,339310.0,54977.0,138.74,21.062,68.321,203.148,247.528
1960-04-01,347588.0,55414.0,141.401,21.481,69.524,209.907,245.933
1960-07-01,321285.0,55330.0,141.921,21.822,71.174,214.461,247.439
1960-10-01,365166.0,55908.0,145.592,22.42,72.211,219.861,250.072
1961-01-01,410353.0,56180.0,145.527,23.016,73.71,220.584,248.141
1961-04-01,411555.0,56081.0,147.691,22.961,74.653,226.654,249.032
1961-07-01,423621.0,56070.0,148.366,23.633,76.459,230.869,254.269
1961-10-01,437674.0,78518.0,152.987,24.413,77.815,237.901,258.176
1962-01-01,427931.0,77641.0,153.763,25.165,79.588,239.141,258.932
1962-04-01,326582.0,59789.0,157.22,25.63,80.915,246.172,259.637
1962-07-01,345363.0,63125.0,158.722,25.578,82.316,252.328,260.143
1962-10-01,424314.0,74795.0,163.466,26.268,83.77,259.752,266.044
1963-01-01,447981.0,79906.0,164.731,27.099,85.007,262.568,266.77
1963-04-01,469026.0,84913.0,167.54,28.379,86.776,271.958,267.323
1963-07-01,487677.0,89501.0,168.693,28.658,88.053,279.337,267.111
1963-10-01,465779.0,87551.0,174.184,29.353,89.243,288.211,271.008
1964-01-01,495027.0,92888.0,175.7,29.922,90.376,292.001,271.258
1964-04-01,511094.0,95826.0,179.699,30.743,92.222,301.505,270.807
1964-07-01,528953.0,98923.0,181.9,31.302,94.132,308.222,273.696
1964-10-01,545955.0,96021.0,187.925,32.937,95.624,317.13,278.309
1965-01-01,559834.0,98249.0,192.273,34.12,97.184,320.497,278.254
1965-04-01,539451.0,93594.0,197.852,34.52,99.513,329.929,275.83
1965-07-01,587928.0,100749.0,201.135,34.654,101.624,336.667,275.013
1965-10-01,623812.0,106063.0,208.193,35.305,103.174,345.863,281.252
1966-01-01,606267.0,103306.0,213.609,36.007,104.665,348.849,281.804
1966-04-01,581050.0,100041.0,222.314,36.579,107.051,358.365,278.555
1966-07-01,523227.0,88360.0,226.596,36.542,108.731,362.093,279.93
1966-10-01,547891.0,108209.0,232.924,37.277,110.037,368.393,286.101
1967-01-01,625556.0,116897.0,238.652,38.647,111.288,368.006,288.574
1967-04-01,641312.0,113318.0,246.017,39.573,113.659,375.1,281.611
1967-07-01,678588.0,125944.0,249.541,40.473,115.889,380.913,290.008
1967-10-01,712221.0,117648.0,255.245,41.452,117.372,402.322,300.362
1968-01-01,652734.0,118342.0,262.494,42.388,118.914,393.697,306.084
1968-04-01,731114.0,147639.0,270.201,42.692,121.158,406.261,303.668
1968-07-01,728536.0,166789.0,275.653,43.273,123.197,413.578,311.406
1968-10-01,843150.0,146483.0,286.074,44.127,126.125,426.692,314.219
1969-01-01,803399.0,136385.0,293.156,44.89,129.933,425.24,314.381
1969-04-01,774485.0,126673.0,303.729,45.833,133.548,436.394,302.979
1969-07-01,743955.0,131889.0,309.856,46.424,136.325,441.993,307.801
1969-10-01,705075.0,128581.0,318.879,47.121,138.257,453.272,312.583
1970-01-01,677754.0,130509.0,338.219,47.736,140.356,445.469,314.538
1970-04-01,541573.0,101132.0,350.546,48.284,143.57,451.801,310.108
1970-07-01,633467.0,115214.0,356.114,48.635,146.348,458.431,317.592
1970-10-01,702189.0,122471.0,363.384,49.993,150.317,467.163,327.027
1971-01-01,774490.0,138321.0,369.808,51.197,154.655,469.639,329.092
1971-04-01,778343.0,133110.0,379.216,52.261,158.807,483.064,332.62
1971-07-01,765304.0,138552.0,385.805,53.205,162.965,495.415,341.74
1971-10-01,823753.0,143477.0,392.236,54.179,166.747,511.31,354.745
1972-01-01,871948.0,153995.0,401.32,55.489,171.129,518.277,358.706
1972-04-01,874936.0,148937.0,411.591,55.721,174.21,537.901,354.8
1972-07-01,893435.0,155678.0,417.754,56.041,177.747,553.025,359.989
1972-10-01,1032664.0,160080.0,431.815,57.569,180.71,571.267,372.75
1973-01-01,970552.0,135000.0,444.395,58.785,184.043,583.239,380.75
1973-04-01,903639.0,117816.0,461.7,60.489,186.85,601.75,376.407
1973-07-01,953484.0,138868.0,478.311,60.371,190.725,620.571,374.976
1973-10-01,809377.0,118935.0,497.437,62.24,194.779,636.677,381.829
1974-01-01,784167.0,116993.0,510.112,62.614,198.757,640.514,384.779
1974-04-01,723296.0,84398.0,529.498,67.002,202.564,660.692,382.611
1974-07-01,540407.0,61894.0,538.898,69.762,206.553,678.739,386.064
1974-10-01,557581.0,65900.0,553.066,73.051,208.213,691.472,396.457
1975-01-01,684902.0,79711.0,556.872,76.588,209.744,690.577,415.886
1975-04-01,791599.0,90807.0,562.793,78.705,212.67,704.331,437.743
1975-07-01,701690.0,72011.0,564.877,80.901,214.487,724.07,460.139
1975-10-01,754817.0,74976.0,572.665,86.086,219.359,747.477,485.926
1976-01-01,868179.0,90498.0,576.041,89.531,224.015,756.712,509.489
1976-04-01,887651.0,90703.0,589.478,92.785,231.469,783.379,525.084
1976-07-01,897275.0,92302.0,597.899,96.305,235.612,808.3,541.821
1976-10-01,927300.0,97475.0,614.346,102.217,237.83,836.261,559.712
1977-01-01,856996.0,91016.0,630.583,103.917,239.122,852.727,576.214
1977-04-01,881959.0,94814.0,649.968,106.534,246.59,891.184,576.622
1977-07-01,845194.0,92543.0,663.882,110.461,252.133,929.088,602.205
1977-10-01,819054.0,93415.0,690.322,112.42,256.165,966.509,622.606
1978-01-01,773767.0,91684.0,709.545,116.759,264.139,988.956,641.819
1978-04-01,833089.0,99893.0,733.612,119.918,274.834,1038.797,645.778
1978-07-01,895681.0,109740.0,745.062,122.257,284.847,1085.944,666.778
1978-10-01,856213.0,102170.0,766.056,132.21,295.601,1128.024,682.118
1979-01-01,910760.0,109103.0,789.221,134.796,301.844,1155.013,690.445
1979-04-01,920994.0,118678.0,815.2,138.501,309.535,1202.081,687.429
1979-07-01,980996.0,125951.0,834.716,149.309,317.129,1252.102,707.368
1979-10-01,1014625.0,117825.0,851.772,155.569,322.216,1296.909,725.909
1980-01-01,956763.0,98920.0,875.36,158.732,326.092,1325.355,741.331
1980-04-01,1076420.0,123317.0,880.924,165.01,332.508,1343.148,748.918
1980-07-01,1213806.0,128490.0,892.508,169.701,339.435,1378.505,786.215
1980-10-01,1346332.0,129662.0,919.612,175.821,344.434,1420.202,812.184
1981-01-01,1350793.0,137798.0,936.893,182.406,349.48,1428.866,843.545
1981-04-01,1315628.0,147183.0,977.133,189.709,355.332,1465.475,842.407
1981-07-01,1135956.0,128370.0,1014.01,193.788,364.627,1495.81,871.686
1981-10-01,1225445.0,140116.0,1038.68,222.513,372.054,1526.567,907.658
1982-01-01,1090243.0,133970.0,1069.68,232.817,380.108,1530.208,937.167
1982-04-01,1073469.0,122169.0,1099.614,245.318,392.635,1554.07,948.245
1982-07-01,1172612.0,139765.0,1120.252,253.797,403.231,1563.669,1017.754
1982-10-01,1386269.0,158774.0,1129.934,267.243,413.774,1597.908,1081.029
1983-01-01,1533575.0,175658.0,1160.659,272.231,421.714,1590.371,1133.939
1983-04-01,1736437.0,187246.0,1184.512,278.761,438.394,1640.797,1183.081
1983-07-01,1709243.0,180915.0,1208.211,290.774,449.996,1697.873,1242.549
1983-10-01,1630197.0,199615.0,1247.243,265.006,461.109,1759.608,1280.78
1984-01-01,1527519.0,192924.0,1291.913,275.406,471.54,1791.459,1327.638
1984-04-01,1455724.0,173585.0,1351.459,291.413,488.008,1855.999,1362.175
1984-07-01,1542913.0,200848.0,1390.242,290.434,504.998,1911.347,1428.915
1984-10-01,1553280.0,209891.0,1457.968,287.264,513.634,1977.678,1496.457
1985-01-01,1671084.0,234682.0,1486.296,286.901,537.245,2051.338,1547.569
1985-04-01,1743624.0,268531.0,1527.269,287.674,563.616,2125.961,1597.393
1985-07-01,1641750.0,244169.0,1558.453,286.954,589.238,2216.808,1658.103
1985-10-01,1916908.0,309114.0,1638.943,290.064,677.931,2329.784,1762.014
1986-01-01,2136797.0,377221.0,1682.974,298.24,680.083,2353.403,1797.119
1986-04-01,2244577.0,377009.0,1741.673,297.704,711.122,2418.96,1853.876
1986-07-01,2031804.0,350369.0,1787.703,303.287,727.112,2505.5,1922.804
1986-10-01,2240835.0,368965.0,1864.487,300.178,752.13,2592.292,2007.547
1987-01-01,2708148.0,428124.0,1909.473,302.539,780.422,2594.993,2032.516
1987-04-01,2783592.0,415313.0,1956.392,298.097,795.998,2687.323,2070.171
1987-07-01,2944431.0,418931.0,1994.716,298.702,820.948,2764.686,2105.975
1987-10-01,2286653.0,328947.0,2051.545,310.447,842.576,2817.489,2181.714
1988-01-01,2419233.0,353134.0,2105.69,311.34,851.013,2861.897,2218.918
1988-04-01,2514872.0,384723.0,2164.293,312.469,861.342,2946.903,2245.379
1988-07-01,2459275.0,404318.0,2195.978,309.503,876.662,3027.059,2298.445
1988-10-01,2558076.0,388881.0,2265.205,351.879,892.989,3100.556,2369.615
1989-01-01,2669423.0,423037.0,2324.462,352.349,901.944,3141.1,2402.768
1989-04-01,2835812.0,468111.0,2386.668,345.763,909.38,3225.251,2420.785
